af	afr_Latn_ZA	afr
ar	ara_Arab_XX	ara
az	aze_Latn_XX	aze_Latn
bg	bul_Cyrl_BG	bul
bn	ben_Beng_BD	ben
br	bre_Latn_FR	bre
bs	bos_Latn_BA	bos_Latn
ca	cat_Latn_ES	cat
ceb	ceb_Latn_PH	ceb
cs	ces_Latn_CZ	ces
cy	cym_Latn_GB	cym
da	dan_Latn_DK	dan
de	deu_Latn_DE	deu
el	ell_Grek_GR	ell
en	eng_Latn_US	eng
eo	epo_Latn_XX	epo
et	est_Latn_EE	est
eu	eus_Latn_ES	eus
fi	fin_Latn_FI	fin
fr	fra_Latn_FR	fra
fy	fry_Latn_NL	fry
ga	gle_Latn_IE	gle
gl	glg_Latn_ES	glg
he	heb_Hebr_IL	heb
hr	hrv_Latn_HR	hrv
hu	hun_Latn_HU	hun
hy	hye_Armn_AM	hye
ia	ina_Latn_XX	ina_Latn
id	ind_Latn_ID	ind
ilo	ilo_Latn_PH	ilo
it	ita_Latn_IT	ita
lb	ltz_Latn_LU	ltz
lt	lit_Latn_LT	lit
lv	lav_Latn_LV	lav
mk	mkd_Cyrl_MK	mkd
ml	mal_Mlym_IN	mal
ms	msa_Latn_MY	msa_Latn
mt	mlt_Latn_MT	mlt
nb	nob_Latn_NO	nob
nds	nds_Latn_DE	nds
nn	nno_Latn_NO	nno
pl	pol_Latn_PL	pol
pt	por_Latn_PT	por
ro	ron_Latn_RO	ron
ru	rus_Cyrl_RU	rus
sk	slk_Latn_SK	slk
sq	sqi_Latn_AL	sqi
sr_Cyrl	srp_Cyrl_RS	srp_Cyrl
sr_Latn	srp_Latn_RS	srp_Latn
sv	swe_Latn_SE	swe
sw	swa_Latn_TZ	swa
ta	tam_Taml_IN	tam
th	tha_Thai_TH	tha
tl	tgl_Latn_XX	tgl_Latn
tr	tur_Latn_TR	tur
uk	ukr_Cyrl_UA	ukr
ur	urd_Arab_PK	urd
uz	uzb_Latn_XX	uzb_Latn
war	war_Latn_PH	war
zh	zho_Hans_XX	zho_Hans
zh_Hans	zho_Hans_CN	zho_Hans
zh_Hant	zho_Hant_TW	zho_Hant
