ab	abk_Cyrl_GE	abk
mai	mai_Deva_IN	mai
mdf	mdf_Cyrl_RU	mdf
mg	mlg_Latn_MG	mlg
mh	mah_Latn_MH	mah
mk	mkd_Cyrl_MK	mkd
ml	mal_Mlym_IN	mal
mn	mon_Cyrl_MN	mon
mnw	mnw_Mymr_XX	mnw
mr	mar_Deva_IN	mar
ms	msa_Latn_MY	msa_Latn
mt	mlt_Latn_MT	mlt
mwl	mwl_Latn_XX	mwl
my	mya_Mymr_MM	mya
myv	myv_Cyrl_RU	myv
na	nau_Latn_NR	nau
nds	nds_Latn_DE	nds
nl	nld_Latn_NL	nld
no	nor_Latn_NO	nor
nov	nov_Latn_XX	nov_Latn
ny	nya_Latn_MW	nya
oc	oci_Latn_FR	oci
or	ori_Orya_IN	ori
pa	pan_Guru_XX	pan_Guru
pag	pag_Latn_PH	pag
pap	pap_Latn_XX	pap
pdc	pdc_Latn_XX	pdc
pl	pol_Latn_PL	pol
pms	pms_Latn_XX	pms
ps	pus_Arab_AF	pus
pt	por_Latn_PT	por
rm	roh_Latn_CH	roh
rn	run_Latn_BI	run
ro	ron_Latn_RO	ron
ru	rus_Cyrl_RU	rus
rw	kin_Latn_RW	kin
sa	san_Deva_IN	san_Deva
sah	sah_Cyrl_RU	sah
scn	scn_Latn_IT	scn
sco	sco_Latn_GB	sco
sd	snd_Arab_XX	snd_Arab
se	sme_Latn_NO	sme
sg	sag_Latn_CF	sag
si	sin_Sinh_LK	sin
sl	slv_Latn_SI	slv
sq	sqi_Latn_AL	sqi
stq	stq_Latn_XX	stq
sv	swe_Latn_SE	swe
sw	swa_Latn_TZ	swa
ta	tam_Taml_IN	tam
te	tel_Telu_IN	tel
tet	tet_Latn_TL	tet
tg	tgk_Cyrl_TJ	tgk_Cyrl
th	tha_Thai_TH	tha
ti	tir_Ethi_ET	tir
tk	tuk_Latn_TM	tuk_Latn
tl	tgl_Latn_XX	tgl_Latn
to	ton_Latn_TO	ton
tpi	tpi_Latn_PG	tpi
tr	tur_Latn_TR	tur
ts	tso_Latn_ZA	tso
tt	tat_Cyrl_RU	tat
ty	tah_Latn_PF	tah
tyv	tyv_Cyrl_RU	tyv
udm	udm_Cyrl_RU	udm
uk	ukr_Cyrl_UA	ukr
ur	urd_Arab_PK	urd
uz	uzb_Latn_XX	uzb_Latn
vec	vec_Latn_XX	vec
vi	vie_Latn_VN	vie
vo	vol_Latn_XX	vol_Latn
wa	wln_Latn_BE	wln
wo	wol_Latn_SN	wol
xal	xal_Cyrl_XX	xal
xh	xho_Latn_ZA	xho
yi	yid_Hebr_XX	yid
yo	yor_Latn_NG	yor
zh	zho_Hans_XX	zho_Hans
zu	zul_Latn_ZA	zul
