ab	abk_Cyrl_GE	abk
ady	ady_Cyrl_RU	ady
af	afr_Latn_ZA	afr
am	amh_Ethi_ET	amh
an	arg_Latn_ES	arg
ang	ang_Latn_XX	ang_Latn
ar	ara_Arab_XX	ara
as	asm_Beng_IN	asm
ast	ast_Latn_ES	ast
awa	awa_Deva_IN	awa
az	aze_Latn_XX	aze_Latn
ba	bak_Cyrl_RU	bak
bar	bar_Latn_XX	bar
be	bel_Cyrl_BY	bel
bg	bul_Cyrl_BG	bul
bm	bam_Latn_ML	bam_Latn
bn	ben_Beng_BD	ben
bo	bod_Tibt_CN	bod
br	bre_Latn_FR	bre
ca	cat_Latn_ES	cat
ce	che_Cyrl_RU	che
chr	chr_Cher_US	chr
co	cos_Latn_FR	cos
crh	crh_Cyrl_XX	crh
cs	ces_Latn_CZ	ces
csb	csb_Latn_PL	csb_Latn
cy	cym_Latn_GB	cym
da	dan_Latn_DK	dan
de	deu_Latn_DE	deu
dsb	dsb_Latn_DE	dsb
el	ell_Grek_GR	ell
en	eng_Latn_US	eng
eo	epo_Latn_XX	epo
es	spa_Latn_ES	spa
et	est_Latn_EE	est
eu	eus_Latn_ES	eus
ext	ext_Latn_XX	ext
fa	fas_Arab_IR	fas
ff	ful_Latn_XX	ful
fi	fin_Latn_FI	fin
fj	fij_Latn_FJ	fij
fo	fao_Latn_FO	fao
fr	fra_Latn_FR	fra
frr	frr_Latn_XX	frr
fy	fry_Latn_NL	fry
ga	gle_Latn_IE	gle
gl	glg_Latn_ES	glg
gn	grn_Latn_PY	grn
got	got_Goth_XX	got_Goth
gu	guj_Gujr_IN	guj
gv	glv_Latn_IM	glv
haw	haw_Latn_US	haw
hif	hif_Latn_FJ	hif_Latn
hsb	hsb_Latn_DE	hsb
ht	hat_Latn_HT	hat
hu	hun_Latn_HU	hun
hy	hye_Armn_AM	hye
ia	ina_Latn_XX	ina_Latn
ie	ile_Latn_XX	ile_Latn
ig	ibo_Latn_NG	ibo
ilo	ilo_Latn_PH	ilo
io	ido_Latn_XX	ido_Latn
it	ita_Latn_IT	ita
iu	iku_Cans_CA	iku_Cans
jam	jam_Latn_JM	jam
jbo	jbo_Latn_XX	jbo_Latn
jv	jav_Latn_ID	jav
ka	kat_Geor_GE	kat
kab	kab_Latn_DZ	kab
kk	kaz_Cyrl_KZ	kaz_Cyrl
kl	kal_Latn_GL	kal
km	khm_Khmr_KH	khm
kn	kan_Knda_IN	kan
ko	kor_Zyyy_KR	kor
ku	ckb_Arab_TR	ckb
kv	kom_Cyrl_RU	kom
kw	cor_Latn_GB	cor
lad	lad_Latn_XX	lad_Latn
lb	ltz_Latn_LU	ltz
lfn	lfn_Latn_XX	lfn_Latn
lg	lug_Latn_UG	lug
lij	lij_Latn_XX	lij
lmo	lmo_Latn_XX	lmo
ln	lin_Latn_CD	lin
lo	lao_Laoo_LA	lao
lt	lit_Latn_LT	lit
lv	lav_Latn_LV	lav
